cost_ratio,threshold,loss,FN,FP
3.0,0.24,0.5673115197834567,161,6643
3.0,0.25,0.5646843404187565,181,6550
3.0,0.26,0.5603057081442561,187,6477
3.0,0.27,0.5579969747631558,204,6397
3.0,0.28,0.5522649470583553,214,6295
3.0,0.29,0.5460552503781546,224,6187
3.0,0.3,0.5392086617307539,233,6074
3.0,0.31,0.5334766340259534,243,5972
3.0,0.32,0.529496059230953,256,5883
3.0,0.33,0.5270281028580527,274,5798
3.0,0.34,0.5240824775097525,292,5707
3.0,0.35,0.5228883050712523,321,5605
3.0,0.36,0.5199426797229519,342,5505
3.0,0.37,0.5176339463418518,366,5404
3.0,0.38,0.5154844359525516,397,5284
3.0,0.39,0.5146883209935514,436,5157
3.0,0.4,0.5122203646206512,467,5033
3.0,0.41,0.5123795876124513,513,4897
3.0,0.42,0.5114242496616511,560,4744
3.0,0.43,0.5168378313828517,627,4611
3.0,0.44,0.520340737202452,697,4445
3.0,0.45,0.5226494705835523,764,4273
3.0,0.46,0.5250378154605525,836,4087
3.0,0.47,0.5283018867924528,901,3933
3.0,0.48,0.5346708064644534,991,3743
3.0,0.49,0.5422338985749542,1084,3559
3.0,0.5,0.5493193217100549,1192,3324
3.0,0.51,0.560624154127856,1307,3121
3.0,0.52,0.5751134463816575,1425,2949
3.0,0.53,0.5854629408486586,1531,2761
3.0,0.54,0.5973250537377597,1639,2586
3.0,0.55,0.6138046333890613,1770,2400
3.0,0.56,0.629647321073163,1893,2230
3.0,0.57,0.6450123397818645,2021,2039
3.0,0.58,0.6638006528142664,2159,1861
3.0,0.59,0.680359843961468,2285,1691
3.0,0.6,0.7016161133667702,2426,1535
3.0,0.61,0.7235888862351724,2566,1391
3.0,0.62,0.7458801050871746,2708,1245
3.0,0.63,0.7678528779555768,2851,1092
3.0,0.64,0.7926120531804792,2997,965
3.0,0.65,0.8221479181593823,3157,856
3.0,0.66,0.8456333094498846,3294,740
3.0,0.67,0.869994427195287,3427,647
3.0,0.68,0.8941963219488894,3558,558
3.0,0.69,0.9094817291616909,3654,462
3.0,0.7,0.9341612928906934,3782,388
3.0,0.71,0.9547010588328955,3896,304
3.0,0.72,0.9688719051030968,3978,236
3.0,0.73,0.9834408088527984,4058,179
3.0,0.74,0.9995223310246,4143,126
3.0,0.75,1.0135339543030013,4213,92
3.0,0.76,1.0234853912905024,4263,67
3.0,0.77,1.0309688719051031,4302,44
3.0,0.78,1.0347106122124035,4322,31
3.0,0.79,1.038770798503304,4344,16
3.0,0.8,1.0417164238516041,4359,8
3.0,0.81,1.0437863227450044,4369,4
3.0,0.82,1.0460154446302046,4379,2
3.0,0.83,1.0467319480933046,4382,2
3.0,0.84,1.0476076745482048,4386,1
3.0,0.85,1.0482445665154048,4389,0
3.0,0.86,1.0487222354908048,4391,0
3.0,0.87,1.0489610699785048,4392,0
3.0,0.88,1.0489610699785048,4392,0
3.0,0.89,1.0491999044662048,4393,0
3.0,0.9,1.0491999044662048,4393,0
3.0,0.91,1.0491999044662048,4393,0
3.0,0.92,1.0491999044662048,4393,0
3.0,0.93,1.0491999044662048,4393,0
3.0,0.94,1.0491999044662048,4393,0
3.0,0.95,1.0491999044662048,4393,0
5.0,0.05,0.6477987421383647,0,8137
5.0,0.06,0.6445346708064644,0,8096
5.0,0.07,0.638961866093464,0,8026
5.0,0.08,0.630682270519863,0,7922
5.0,0.09,0.6235172358888623,2,7822
5.0,0.1,0.6176259851922618,4,7738
