term,coefficient
attended,-1.1279427892750011
wilson,-1.1482096565318909
tells,-1.1483951742355731
including,-1.1648208065808996
targaryen,-1.2081090561080567
team,-1.2106269439744461
gave,-1.2266497312564697
morgan,-1.2675895213902806
parents,-1.281225644752446
jurassic,-1.2984910339509987
approached,-1.3358135024428384
references,-1.3484766771177277
imperial,-1.3601070566746443
just,-1.3672088965161577
started,-1.4060329910127218
department,-1.4490276720689943
female,-1.4677356885021058
employee,-1.4747230681113044
helped,-1.5177072722856073
told,-1.5242413507861434
luke,-1.540153603023589
tony,-1.5415960366086092
thrones,-1.5441299984478476
scenes,-1.5888153090928485
jimmy,-1.7458350733230772
history,-1.7972044687784068
dune,-1.8248102668723196
student,-1.8253919347207708
asked,-1.8448626514174855
williams,-1.8869661710253316
office,-1.9157261204258849
debra,-1.9458158391190186
series,-2.010987523452268
school,-2.161765871254866
allies,-2.1754159753715854
hospital,-2.3799328921717637
awakening,-2.4329358776611643
characters,-2.6489742569389403
relationships,-2.6736960894560418
category,-2.6875056371333503
